CUSTOMER_ID,GENDER,SENIOR_CITIZEN,PARTNER,DEPENDENTS,TENURE,PHONE_SERVICE,MULTIPLE_LINES,INTERNET_SERVICE,ONLINE_SECURITY,ONLINE_BACKUP,DEVICE_PROTECTION,TECH_SUPPORT,STREAMING_TV,STREAMING_MOVIES,CONTRACT,PAPERLESS_BILLING,PAYMENT_METHOD,MONTHLY_CHARGES,TOTAL_CHARGES,CHURN
4412-YLTKF,female,yes,no,no,27,yes,yes,fiber_optic,no,no,yes,no,no,no,month_to_month,yes,electronic_check,78.05,2135.5,yes
6734-PSBAW,male,no,yes,no,72,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_automatic,23.55,1723.95,no
3930-ZGWVE,male,no,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,19.75,19.75,no
2639-UGMAZ,male,yes,no,no,71,no,no_phone_service,dsl,yes,yes,no,no,yes,yes,one_year,yes,electronic_check,56.45,3985.35,no
2876-GZYZC,female,no,no,no,13,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,electronic_check,85.95,1215.65,no
6207-WIOLX,female,no,yes,yes,25,no,no_phone_service,dsl,yes,yes,yes,no,yes,yes,month_to_month,yes,credit_card_automatic,58.6,1502.65,yes
8587-XYZSF,male,no,no,no,67,yes,no,dsl,no,no,no,yes,no,no,two_year,no,bank_transfer_automatic,50.55,3260.1,no
3091-FYHKI,male,no,no,no,1,no,no_phone_service,dsl,no,no,no,no,no,yes,month_to_month,yes,electronic_check,35.45,35.45,yes
2372-HWUHI,male,no,no,no,2,yes,no,dsl,no,no,no,no,no,no,month_to_month,no,electronic_check,44.35,81.25,yes
7799-LGRDP,female,no,no,no,43,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,credit_card_automatic,25.7,1188.2,no
7850-VWJUU,female,no,no,no,23,yes,no,fiber_optic,yes,no,no,no,no,no,month_to_month,yes,bank_transfer_automatic,75.0,1778.5,no
3774-VBNXY,female,no,yes,yes,64,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.2,1277.75,no
6217-KDYWC,male,no,no,yes,57,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,19.6,1170.55,no
0390-DCFDQ,female,yes,yes,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,mailed_check,70.45,70.45,yes
3146-MSEGF,female,yes,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_automatic,88.05,6425.65,no
4080-OGPJL,female,no,no,no,8,yes,yes,dsl,yes,no,no,yes,no,yes,month_to_month,no,electronic_check,71.15,563.65,yes
1095-WGNGG,female,no,yes,no,61,yes,yes,fiber_optic,no,yes,no,no,yes,yes,two_year,yes,bank_transfer_automatic,101.05,5971.25,no
2636-SJDOU,male,no,no,no,64,yes,yes,fiber_optic,yes,yes,no,no,no,no,one_year,yes,credit_card_automatic,84.3,5289.05,no
1131-QQZEB,male,yes,yes,no,71,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_automatic,23.95,1756.2,no
5716-EZXZN,female,no,yes,yes,65,yes,yes,fiber_optic,yes,yes,no,yes,yes,no,two_year,yes,credit_card_automatic,99.05,6416.7,no
6837-BJYDQ,male,no,no,no,3,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,19.6,61.35,no
2135-RXIHG,male,no,no,no,1,yes,no,dsl,no,no,no,no,no,no,month_to_month,yes,electronic_check,45.65,45.65,yes
6440-DKQGE,male,no,no,yes,30,yes,no,dsl,no,yes,yes,no,yes,no,one_year,no,credit_card_automatic,64.5,1929.95,no
3466-BYAVD,male,no,yes,yes,15,yes,no,dsl,no,yes,yes,yes,no,yes,month_to_month,yes,mailed_check,69.5,1071.4,no
3780-YVMFA,female,no,yes,yes,8,yes,no,dsl,no,no,no,yes,yes,yes,month_to_month,yes,electronic_check,68.55,564.35,no
3874-EQOEP,male,no,no,no,7,yes,yes,fiber_optic,no,no,no,no,yes,yes,month_to_month,no,mailed_check,95.0,655.5,yes
1679-JRFBR,female,no,yes,yes,70,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,one_year,yes,credit_card_automatic,108.15,7930.55,no
9073-ZZIAY,male,no,yes,yes,62,yes,no,dsl,yes,yes,yes,yes,yes,yes,two_year,no,electronic_check,86.1,5215.25,no
3077-RSNTJ,female,no,yes,yes,6,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,19.7,113.5,no
6551-GNYDG,female,no,yes,yes,14,yes,no,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,bank_transfer_automatic,80.9,1152.8,no
9167-APMXZ,female,no,no,no,22,yes,yes,fiber_optic,no,no,no,no,yes,no,month_to_month,yes,bank_transfer_automatic,84.15,1821.95,no
2749-CTKAJ,male,no,yes,yes,22,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.15,419.9,no
6371-NZYEG,male,no,yes,yes,16,yes,no,dsl,yes,no,yes,no,yes,no,two_year,no,mailed_check,64.25,1024.0,no
7554-NEWDD,male,no,no,no,10,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_automatic,25.7,251.6,no
8992-VONJD,female,no,no,yes,13,yes,no,dsl,yes,yes,no,no,no,no,month_to_month,yes,electronic_check,56.0,764.55,no
0867-MKZVY,female,no,yes,no,20,yes,yes,fiber_optic,yes,no,no,no,no,no,month_to_month,no,electronic_check,82.4,1592.35,yes
4482-EWFMI,female,no,no,no,2,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,69.7,135.2,no
4648-YPBTM,male,no,no,no,53,yes,yes,dsl,no,yes,yes,yes,no,yes,two_year,yes,bank_transfer_automatic,73.9,3958.25,no
2907-ILJBN,female,no,yes,yes,11,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.6,233.9,no
6345-FZOQH,male,no,yes,no,69,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.9,1363.45,no
3376-BMGFE,female,no,no,no,4,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,bank_transfer_automatic,70.9,273.0,yes
5997-OPVFA,male,no,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_automatic,89.05,6254.45,no
3445-HXXGF,male,yes,yes,no,58,no,no_phone_service,dsl,no,yes,yes,no,no,yes,month_to_month,yes,electronic_check,45.3,2651.2,yes
1159-WFSGR,female,no,yes,yes,16,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,electronic_check,20.4,321.4,no
7654-YWJUF,male,no,yes,no,43,yes,no,fiber_optic,yes,no,yes,yes,no,no,one_year,yes,bank_transfer_automatic,84.25,3539.25,no
1875-QIVME,female,no,yes,no,2,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,month_to_month,yes,electronic_check,104.4,242.8,yes
6727-IOTLZ,male,no,yes,no,14,yes,no,dsl,no,yes,yes,yes,yes,yes,two_year,no,mailed_check,81.95,1181.75,no
0691-JVSYA,female,no,yes,no,53,yes,no,fiber_optic,no,no,yes,no,yes,yes,one_year,yes,bank_transfer_automatic,94.85,5000.2,yes
5918-VUKWP,female,no,no,no,32,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_automatic,20.55,654.55,no
